id,uuid,name,code,description,active,area_id,area_code
56,ab99c98e-8e27-4d94-84a3-22514c4db57c,Slide Gate ,SG01,Slide Gate ,1,4,1651
57,9cc01427-b2a1-4d7d-87d9-c657f4d16a7b,Rotary Valve,RG01,Rotary Valve,1,4,1651
58,ddd2c5be-8d87-44a1-9148-611acefa8de4,Ducting,DU01,Ducting,1,4,1651
59,b72fcb96-686b-4ff1-8e36-500251bb581c,Mill Fan,FN01,Mill Fan,1,4,1661
60,e5674ef1-86ca-4edd-b911-e306f49324ab,Hot Gas,HG01,Hot Gas,1,4,1661
61,3116cdd1-df11-488b-a266-22a37337a5c5,Damper  S,DA06,Damper  ``S``,1,4,1661
62,b9029ff7-5bb4-44ef-a59b-1e815b8f03a2,Damper  R,DA07,Damper  ``R``,1,4,1661
63,1dbc0547-67da-4a8f-a30c-2c9d69aa0d8b,Damper Z,DA11,Damper  ``Z``,1,4,1661
64,5871d4fa-326e-4dc0-a0b1-2f294c5a1ef4,Damper  X,DA41,Damper  ``X``,1,4,1661
65,52bedd8e-4604-4a11-8a7e-24fc26dde4af,Ducting,DU01,Ducting,1,4,1661
66,4d28779e-c7af-4172-8a7b-3cc3fd43ecc3,Ducting,DU02,Ducting,1,4,1661
67,761939ac-a0b8-49c6-9066-1b293ae22e51,Ducting,DU04,Ducting,1,4,1661
68,5ce553b9-793b-4fef-a74b-5d5cdda4e5bc,Bucket Elevator,BE01,Bucket Elevator,1,5,1681
69,d08bee55-c120-4fc3-841c-10180e99faac,Air Slide ,AS01,Air Slide ,1,5,1681
70,6c07a6f8-5d6f-44d9-9095-d26dba3422ae,Air Slide ,AS02,Air Slide ,1,5,1681
71,fd2587d5-2d0a-465e-a4c6-7e4cd0be7a1c,Silo 1,SO01,Silo 1,1,6,1691
72,8af747a9-80f5-4e44-8803-a25a988e33d4,Silo 2,SO02,Silo 2,1,6,1692
73,92b733a1-2a2f-44e0-84c7-26e64e57061f,Air Slide,AS01,Air Slide,1,7,1711
74,7d57f748-6582-4b71-9c0c-b0672f7a1bbf,Vibrating Screen,SN01,Vibrating Screen,1,7,1731
75,434ede23-f49d-424a-98bb-8e2cb692d251,Dedusting Filter,DE01,Dedusting Filter,1,7,1731
76,7f317f89-6c2b-4bcd-aa16-5d771939e059,Bin,BI01,Bin,1,7,1731
77,edd83f78-e91d-4064-a2ce-67b0e4a47d5b,Packing Machine,PM01,Packing Machine,1,7,1731
78,5bf09f2d-1f43-4bfc-8a74-48f5e69d52e5,Belt Conveyor,BC01,Belt Conveyor,1,7,1731
79,1f1ebebf-eda5-4dd1-befa-fc7dfcfc4994,Belt Conveyor,BC02,Belt Conveyor,1,7,1731
80,8a95ab4b-c26d-455e-b4c3-21c3ab9e4dcd,Screw Conveyor,SC01,Screw Conveyor,1,7,1731
81,fc0ff1a1-351a-448f-ac36-83bcc9834fae,Screw Conveyor,SC02,Screw Conveyor,1,7,1731
82,ff563cc3-d3a2-4cb9-bf16-6b3f2b19ac92,Truck Loading 1,TC01,Truck Loading 1,1,7,1761
83,04541d08-f39d-4359-88f8-b8ff2924cd7c,Truck Loading 2,TC02,Truck Loading 2,1,7,1762
84,b49419ca-4729-40ee-821e-89c6fa56c4dd,Compressed ,CP01,Compressed ,1,8,1811
85,6a5ab6f4-5f86-44a4-9878-e7ec05f212a2,Air Dryer,AY01,Air Dryer,1,8,1811
86,468f2764-38d7-40ec-b381-791ea8ba3636,Air Tank,TK01,Air Tank,1,8,1811
87,acc1b3c7-2291-4b58-952f-49e8dd0660dd,Oil Tank,TK01,Oil Tank,1,8,1811
88,f1a79218-dfa4-48a6-a2c3-95ff07a856eb,Water tower,WT01,Water tower,1,8,1811
