id,area_id,code
1,1,1000
2,1,1004
3,1,1006
4,1,1600
5,1,1601
6,2,RW01
7,3,1621
8,4,1631
9,4,1641
10,4,1651
11,4,1661
12,5,1681
13,6,1691
14,6,1692
15,7,1711
16,7,1731
17,7,1741
18,7,1761
19,7,1762
20,8,1811
21,9,LAB
