id,equipment,type,state,periodicity,area_code,equipment_code,factory_code,gamut_code,active
73,Broyeur -  Dispositif de pivotement,Mechanical,Running,Yearly,1631,SD01,TAR-4,SD310A,1
74,Broyeur -  Entrainement LM,Mechanical,Running,Quarterly,1631,LM01,TAR-4,LM310T,1
75,Broyeur -  Entrainement LM,Mechanical,Running,Biannual,1631,LM01,TAR-4,LM310S,1
76,Broyeur -  Entrainement LM,Mechanical,Offline,Quarterly,1631,LM01,TAR-4,LM310T,1
77,Broyeur -  Entrainement LM,Mechanical,Offline,Biannual,1631,LM01,TAR-4,LM310S,1
78,Broyeur -  Entrainement LM,Mechanical,Offline,Yearly,1631,LM01,TAR-4,LM310A,1
79,Broyeur   Levier Oscillant,Mechanical,Offline,Weekly,1631,SL01,TAR-4,SL310H,1
80,Broyeur   Levier Oscillant,Mechanical,Offline,Quarterly,1631,SL01,TAR-4,SL310T,1
81,Broyeur   Levier Oscillant,Mechanical,Offline,Biannual,1631,SL01,TAR-4,SL310S,1
82,Broyeur - Meule Cpl,Mechanical,Offline,Quarterly,1631,GW01,TAR-4,GW310T,1
83,Broyeur - Meule Cpl,Mechanical,Offline,Biannual,1631,GW01,TAR-4,GW310S,1
84,Broyeur - Systeme de suspension des meules de broyage,Mechanical,Offline,Weekly,1631,SY01,TAR-4,SY310H,1
85,Broyeur - Systeme de suspension des meules de broyage,Mechanical,Offline,Monthly,1631,SY01,TAR-4,SY310M,1
86,Broyeur - Systeme de suspension des meules de broyage,Mechanical,Offline,Biannual,1631,SY01,TAR-4,SY310S,1
87,Broyeur - Systeme de suspension des meules de broyage,Mechanical,Offline,Yearly,1631,SY01,TAR-4,SY310A,1
88,Broyeur - Systeme de suspension des meules de broyage,Mechanical,Offline,Biannual,1631,SY01,TAR-4,SY310AA,1
89,Broyeur - Systeme d'air de barrage,Mechanical,Running,Monthly,1631,AB01,TAR-4,AB310M,1
90,Broyeur - Systeme d'air de barrage,Mechanical,Offline,Monthly,1631,AB01,TAR-4,AB310M,1
91,Broyeur - Systeme d'air de barrage,Mechanical,Offline,Quarterly,1631,AB01,TAR-4,AB310T,1
92,Broyeur - Systeme d'air de barrage,Mechanical,Offline,Biannual,1631,AB01,TAR-4,AB310S,1
93,Broyeur - Table Cpl,Mechanical,Offline,Biannual,1631,CT01,TAR-4,CT310S,1
94,Convoyeur a vis filtre proces,Mechanical,Running,Weekly,1651,SC01,TAR-4,SC316H,1
95,Convoyeur a vis filtre proces,Mechanical,Running,Monthly,1651,SC01,TAR-4,SC316M,1
96,Convoyeur a vis filtre proces,Mechanical,Offline,Biannual,1651,SC01,TAR-4,SC316S,1
97,Convoyeur a vis filtre proces,Mechanical,Offline,Yearly,1651,SC01,TAR-4,SC316A,1
