id,name,uuid,code,complementary_code,stock,active
49,BOUTON POUSSOIR MARCHE VERT NO ,ef36650d-24cf-48d6-9fb0-ee9625cc771a,XB4BA31,,0,1
50,BOUTON POUSSOIR ARRET  ROUGE  NC,302227e8-1e35-44fb-86d0-70426e48e9b6,XB4BA42,,0,1
51,ELEMENT ZBE 101 N0,6fbc9ea6-0f6c-4e4a-9c9a-cca2e67b41ff,ZBE101,,0,1
52,ELEMENT ZBE 102 NC ,49e73af4-a5a6-4800-b4c1-8b886c947176,ZBE 102,,0,1
53,CAPUCHON TRANSP POUR B P ,63730871-da02-40d9-88f5-816256381657,ZBP0,,0,1
54,ÉLECTROVANNE,f196a0f4-be19-48ca-8725-079e5f154cc5,4WE 10H A01-205DG/V,,0,1
55,ÉLECTROVANNE,d52fd3a4-d907-4212-8491-e1cc5f348375,WS16Z-01-C-N-230AG,,0,1
56,ÉLECTROVANNE,bc9afedb-f249-4358-a7cc-3cdd4da6320e,WSM10120Z-01-C-N-230G,,0,1
57,ÉLECTROVANNE,e5c8c8ce-5bcd-4a5d-b286-2fddab9f7451,RXE9A73-Z50-00K,,0,1
58,ÉLECTROVANNE,46e5c895-ceb1-4380-b6d5-08c0f8f3bc4e,SXE0575-Z50-61-29N,,0,1
59,ÉLECTROVANNE,862ee710-7eb0-4c77-8ec9-c161966bc284,SXE0573-A60-00K,,0,1
60,PORTE FUSIBLE DE PROTECTION PAR PHASE ,1563d6b8-7858-4f7d-9095-bdcc2e1dd53a,5SG5301,,0,1
61,PORTE FUSIBLE DE PROTECTION PAR PHASE ,b20f9245-4794-47f7-b1c2-8240d932d396,5SG5701,,0,1
62,RELAIS ,27da936b-90ba-4cd2-9f0b-5e2157bc3c4d,G2R-2-SN 230 AC,,0,1
63,RELAIS ,842cc5c0-1203-4f03-8a45-e86467abfd1b,G2R-2-SND24 DC,,0,1
64,CONTACTEUR AUXIL POUR INS ,9ae47aa2-fea5-4a4a-87a4-1ea01481f9da,29450,,0,1
65,VENTILTAEUR,158a2474-2ac2-4ba1-a5fe-5ca58ce12005,AZ1223,,0,1
66,Tube Flexible double paroi D-63,60b68869-24be-4c84-94aa-4c9f1e484ad2,529,,0,1
67,Câble U500 rigide 25mm rouge,997e7754-70ad-4d87-9d94-8331f516f62d,216102R,,0,1
68,Grillage AVER.PM 0.3 rouge,41306d7d-cb16-482a-ae87-f2a1ca0b804c,10715,,0,1
69,disj 40 A INGELEC ,018c37c4-0823-4783-b110-9b1ff3dfe658,INGELEC,,0,1
70,DIsj 63 A INGELEC ,993c89e7-ca26-41f8-a50e-bc9094652dc6,INGELEC,,0,1
71,disj c16,c45de291-6b43-484c-b6aa-f4cb876badd4,kema keur ,,0,1
72,DISJ 25 A,05ef5b69-21dc-42e8-ba04-63f8fe857d02,MERLIN GREEN,,0,1
73,DISJ 16 A,7a468e5e-5884-4758-bccb-ea66202d15a2,MERLIN GREEN,,0,1
74,DISJ 40 A ,65c08004-0757-4c23-a0e0-5435505ee3e3,DIFF-O-JUMP,,0,1
75,DISJ C32,465b6fae-d5b4-47b0-851c-3795b2873c5d,HAGER ,,0,1
76,INTERRUPTEUR VA ET VIENT ,4ca0c8c6-42e3-43d3-8149-a79a32203638,5891/20,,0,1
77,PRISE 2P T,d6ddc070-78ba-4e9d-81b3-7a4ae4a30dbe,4896,,0,1
78,Câble torsade allu 4*16mm,2856329d-0a49-4348-b8e4-5e18bdb5b0bd,222416,,0,1
79,coffret de distribution 3 départs ,b7f7d5d1-b95f-4006-8b89-089b60ae91d5,6800,,0,1
80,bloc répartiteur tetrapol 160 A,616b58ba-d5ee-46d2-b0eb-305bd427fe52,BR160/140,,0,1
81,bloc répartiteurs 125A,1ebad044-c524-42ee-9c91-6204dd739308,BR125/46,,0,1
82,bloc répartiteurs 100 A,6dd7da52-28e5-4093-b087-1446a0cd8a56,BR100/24,,0,1
83,MOTO SIREN ,c9ed767a-748d-41f6-97d6-0dd426eb2eb3,MS-190,,0,1
84,cable de buse bifilaire ,f7dd80ee-e853-4ed0-a883-ca50b377841f,6XV1830-0EH10,,0,1
85,CONNECTEUR POUR PROFIBUS SANS CONN.PG FERME ,54663fe0-6718-41ae-9df2-452700f60b43,6ES7972-0BA52-0XA0,,0,1
86,CONNECTEUR DE BUS  POUR PC INDUS . SIMATIC OP BOITIER METALIQUE ,7f7a740c-9539-4c3d-9695-f09d45f7cc3c,6GK1500-0EA02,,0,1
87,BATTERIE UNIQUE,2a6ecd4c-ce2d-4266-b906-fbb184ecbd32,GSUN4,,0,1
88,NSYCRN 300X250X150 ONE PLAIN DOOR ,19be8b7f-0fbb-4351-8cf1-977133b42d89,NSYCRN325150,,0,1
89,SIMATIC S7IF964-DP MODULE D'interface maitre DP POUR S7-400,b166f7fb-7ff6-4bc4-83c2-d04bf792aef2,6ES7964-2AA04-0AB0,,0,1
90,PILOT GROUP TRIMEC WITH COIL 220VAC 50HZ 20VAC 22*29*37,30cefcd3-1a9a-4bc0-ab9f-b1a7dd5eb948,TRIMEC FP-XLC,,0,1
91,CELLULE DE PESAGE à point unique modèle 1042100kg ,a2bdebd6-dbc3-4d90-8025-15016bc409c5,B6N-C3-100KG-1B6,,0,1
